Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Link),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category
"GH21- product quanitity -If product quanitity exceed stock number, display error",N5-51,10269,Story,Done,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,Done,,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,VO TUAN KHUONG,62a929b7fd38e70069b32f89,06/Jan/23 4:30 PM,06/Jan/23 4:38 PM,06/Jan/23 5:00 PM,06/Jan/23 4:37 PM,,0,,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,,,,,,,,,,,,,,There is a message that the quantity is not soldThere is a message that the quantity is not sold,,,,,,,,,,There is a message that the quantity is not sold,,,,,0|i001mv:,,,,,,,,,,Unit,"Step 1: enter the amount 999
Step : press the buy button",Pass,,,,Done
TB16 -  Search bar -display product list that contain keyword when search,N5-50,10268,Story,Done,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,Done,,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,VO TUAN KHUONG,62a929b7fd38e70069b32f89,06/Jan/23 4:29 PM,06/Jan/23 4:36 PM,06/Jan/23 5:00 PM,06/Jan/23 4:36 PM,,0,"If customer does not enter password, display error

Test data: 0335266221",,VO TUAN KHUONG,62a929b7fd38e70069b32f89,,,,,,,,,,,N5-46,06/Jan/23 4:36 PM;62a929b7fd38e70069b32f89;TK15.jpg;https://tranhoanghuy.atlassian.net/secure/attachment/10284/TK15.jpg,,show book lists that has the same keyword,,,,,,,,,N5-3,show book lists that has the same keyword,,purple,,,0|i001mn:,,N5 Sprint 2,,,,,,,,Unit,"Step 1: Enter search bar
Step 2: type keyword
Step 3: submit",Pass,,,,Done
"TB20- Product detail -When you are not logged in, do not allow purchases",N5-49,10267,Story,Done,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,Done,,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,VO TUAN KHUONG,62a929b7fd38e70069b32f89,06/Jan/23 4:24 PM,06/Jan/23 4:38 PM,06/Jan/23 5:00 PM,06/Jan/23 4:37 PM,,0,"If customer does not enter password, display error

Test data: 0335266221",,VO TUAN KHUONG,62a929b7fd38e70069b32f89,,,,,,,,,,,N5-43,06/Jan/23 4:24 PM;62a929b7fd38e70069b32f89;TB14.jpg;https://tranhoanghuy.atlassian.net/secure/attachment/10282/TB14.jpg,,show notification,,,,,,,,,N5-10,show noti,,purple,,,0|i001mf:,,N5 Sprint 2,,,,,,,,Unit,"step 1: visit website 
step 2: log in 
step 2: check the notification box",Pass,,,,Done
IP22 - Kiểm chứng phân loại - Nếu bấm vào thể loại bất kì sẽ hiện thị danh sách sản phẩm tương ứng ,N5-48,10266,Story,Done,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,Done,,,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,06/Jan/23 4:23 PM,06/Jan/23 4:32 PM,06/Jan/23 4:29 PM,06/Jan/23 4:23 PM,,0,Nếu bấm vào thể loại bất kì sẽ hiện thị danh sách sản phẩm tương ứng ,,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,,,,,,,,,,,06/Jan/23 4:32 PM;62a0b2334e1a640070c40692;image-20230106-093159.png;https://tranhoanghuy.atlassian.net/secure/attachment/10283/image-20230106-093159.png,,Hiển thị danh mục tương ứng,,,,,,,,,N5-6,Hiển thị danh mục tương ứng,,,,,0|i001m7:,,N5 Sprint 2,,,,,,,,Integration,"Bước 1: Rê chuột vào phân loại 
Bước 2: Chọn danh mục sản phẩm",Pass,,,,Done
IP21 - Kiểm chứng phân loại - Nếu rê chuột vào sẽ hiển bảng chọn ,N5-47,10265,Story,Done,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,Done,,,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,06/Jan/23 4:18 PM,06/Jan/23 4:19 PM,06/Jan/23 4:18 PM,06/Jan/23 4:18 PM,,0,Nếu rê chuột vào sẽ hiển bảng chọn ,,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,,,,,,,,,,,06/Jan/23 4:19 PM;62980d87a0eafd0069e8d5d3;image-20230106-091839.png;https://tranhoanghuy.atlassian.net/secure/attachment/10281/image-20230106-091839.png,,Hiển thị bảng chọn ,,,,,,,,,N5-6,Hiển thị bảng chọn ,,,,,0|i001lz:,,N5 Sprint 2,,,,,,,,Integration,Rê chuột vào phân loại,Pass,,,,Done
TB15 -  category tag - Show category book lists when clicked on a category tag,N5-46,10264,Story,Done,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,Done,,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,VO TUAN KHUONG,62a929b7fd38e70069b32f89,06/Jan/23 4:16 PM,06/Jan/23 4:36 PM,06/Jan/23 5:00 PM,06/Jan/23 4:21 PM,,0,"If customer does not enter password, display error

Test data: 0335266221",,VO TUAN KHUONG,62a929b7fd38e70069b32f89,,,,,,,,,N5-50,,N5-43,06/Jan/23 4:36 PM;62a929b7fd38e70069b32f89;TK16.jpg;https://tranhoanghuy.atlassian.net/secure/attachment/10285/TK16.jpg,,Show category book lists ,,,,,,,,,N5-3,Show category book lists ,,purple,,,0|i001lr:,,N5 Sprint 2,,,,,,,,Unit,"Step 1: Choose a book
Step 2: Click it's category tag",Pass,,,,Done
"DKNBT19- Email form -Customer enter email edit form, The system will display an error on the screen",N5-45,10263,Story,Done,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,Done,,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,VO TUAN KHUONG,62a929b7fd38e70069b32f89,06/Jan/23 4:14 PM,06/Jan/23 4:32 PM,06/Jan/23 5:00 PM,06/Jan/23 4:21 PM,,0,,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,,,,,,,,,,,,06/Jan/23 4:16 PM;62a929b7fd38e70069b32f89;1j.jpg;https://tranhoanghuy.atlassian.net/secure/attachment/10279/1j.jpg,,display error messages and do not allow information to be saved,,,,,,,,,,"
display error messages and do not allow information to be saved",,,,,0|i001lj:,,,,,,,,,,Integration,"Step 1: enter your last name, first name, phone number, gender, date of birth
Step 2: do not enter email
Step 3: press the save changes button
",Pass,,,,Done
IP20 - Kiểm chứng đăng nhập - Nếu chọn đăng nhập bằng tài khoản facebook thì chuyển sang trang khác,N5-44,10262,Story,Done,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,Done,,,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,06/Jan/23 4:10 PM,06/Jan/23 4:11 PM,06/Jan/23 4:10 PM,06/Jan/23 4:10 PM,,0,Nếu chọn đăng nhập bằng tài khoản facebook thì chuyển sang trang khác,,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,,,,,,,,,,,06/Jan/23 4:11 PM;62980d87a0eafd0069e8d5d3;image-20230106-091101.png;https://tranhoanghuy.atlassian.net/secure/attachment/10277/image-20230106-091101.png,,Chuyển sang trang khác,,,,,,,,,N5-1,Chuyển sang trang khác,,,,,0|i001lb:,,N5 Sprint 2,,,,,,,,Integration,"Bước 1: Chọn mục đăng nhập 
Bước 2: Chọn đăng nhập bằng facebook",Pass,,,,Done
"TB14 -  Notification box -When not logged in, notification box should be active",N5-43,10261,Story,Done,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,Done,,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,VO TUAN KHUONG,62a929b7fd38e70069b32f89,06/Jan/23 4:07 PM,06/Jan/23 4:39 PM,06/Jan/23 5:00 PM,06/Jan/23 4:11 PM,,0,"If customer does not enter password, display error

Test data: 0335266221",,VO TUAN KHUONG,62a929b7fd38e70069b32f89,,,,,,,,,N5-46,N5-49,N5-39,06/Jan/23 4:11 PM;62a929b7fd38e70069b32f89;TB14.jpg;https://tranhoanghuy.atlassian.net/secure/attachment/10278/TB14.jpg,,show notification,,,,,,,,,N5-10,show noti,,purple,,,0|i001l3:,,N5 Sprint 2,,,,,,,,Unit,"step 1: visit website 
step 2: log in 
step 2: check the notification box",Pass,,,,Done
IP19 - Kiểm chứng đăng ký - Nếu không nhập đủ thông tin sẽ không thể ấn đăng ký,N5-42,10260,Story,Done,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,Done,,,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,06/Jan/23 4:07 PM,06/Jan/23 4:08 PM,06/Jan/23 4:07 PM,06/Jan/23 4:07 PM,,0,Nếu không nhập đủ thông tin sẽ không thể ấn đăng ký,,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,,,,,,,,,,,06/Jan/23 4:08 PM;62980d87a0eafd0069e8d5d3;image-20230106-090805.png;https://tranhoanghuy.atlassian.net/secure/attachment/10276/image-20230106-090805.png,,Không thể ấn đăng ký,,,,,,,,,N5-2,Không thể ấn đăng ký,,,,,0|i001kv:,,N5 Sprint 2,,,,,,,,Integration,"Bước 1: Để trống các ô
Bước 2: Ấn đăng ký",Pass,,,,Done
